file_path,path,label,speaker_id,generator_type,duration_sec,duration_seconds,dataset_source,source,codec,sample_rate,language,split,sha256_hash,is_valid
data/ai_voice/ai_bark_spk_ai_bark_004_00004.wav,data/ai_voice/ai_bark_spk_ai_bark_004_00004.wav,1,ai_bark_spk_ai,bark,2.533,2.533,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,c3546ec2ed7c70963fc534aded6fdcc6f6c6810787022356e3f7b581c249f811,True
data/ai_voice/ai_bark_spk_ai_bark_004_00074.wav,data/ai_voice/ai_bark_spk_ai_bark_004_00074.wav,1,ai_bark_spk_ai,bark,3.056,3.056,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,3934c759e889400a18f272e8a393c3e47e1ce9850ecc82a8c79d05129ed2234f,True
data/ai_voice/ai_bark_spk_ai_bark_004_00144.wav,data/ai_voice/ai_bark_spk_ai_bark_004_00144.wav,1,ai_bark_spk_ai,bark,2.839,2.839,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,58d43be71321e4792fd2719810bd1f4ceb13a2c0d7f1de2a5deafeab3c43d1ba,True
data/ai_voice/ai_bark_spk_ai_bark_011_00046.wav,data/ai_voice/ai_bark_spk_ai_bark_011_00046.wav,1,ai_bark_spk_ai,bark,4.371,4.371,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,ad1eadd4e5fe6045812288a7da3e42e9d798aa5ebc6cb5b094b117d0b5c99c67,True
data/ai_voice/ai_bark_spk_ai_bark_011_00116.wav,data/ai_voice/ai_bark_spk_ai_bark_011_00116.wav,1,ai_bark_spk_ai,bark,2.659,2.659,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,8404b6f076c40cca859733abb3ea04bfc6bc259661c698752f4bd58ded67c729,True
data/ai_voice/ai_bark_spk_ai_bark_011_00186.wav,data/ai_voice/ai_bark_spk_ai_bark_011_00186.wav,1,ai_bark_spk_ai,bark,2.871,2.871,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,9f1f75d627d7be1ccf7535599117f07c726810ed6f6411156f5da4cbd47d1008,True
data/ai_voice/ai_bark_spk_ai_bark_018_00018.wav,data/ai_voice/ai_bark_spk_ai_bark_018_00018.wav,1,ai_bark_spk_ai,bark,3.044,3.044,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,6ba8c17065ba70d4959e8a1947241c2304e3f2c5a12319afe9f34eda3c153e36,True
data/ai_voice/ai_bark_spk_ai_bark_018_00088.wav,data/ai_voice/ai_bark_spk_ai_bark_018_00088.wav,1,ai_bark_spk_ai,bark,4.295,4.295,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,e580cfdd04bde0421c8ca4fff401cd3173eeffb42a7844a2d269364dbc1252a0,True
data/ai_voice/ai_bark_spk_ai_bark_018_00158.wav,data/ai_voice/ai_bark_spk_ai_bark_018_00158.wav,1,ai_bark_spk_ai,bark,3.983,3.983,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,78cc137e6b628ad61d160c3cae32c62ac18b48945fda354d0e3eea6ea7b4560f,True
data/ai_voice/ai_bark_spk_ai_bark_025_00060.wav,data/ai_voice/ai_bark_spk_ai_bark_025_00060.wav,1,ai_bark_spk_ai,bark,3.3,3.3,voiceshield_standard_corpus,voiceshield_standard_corpus,PCM_16,16000,en,train,60995d30d4a8a20bee151cb2b260df05e9982a88adedb3dd9d460b261a1f0f91,True
